id,bid,user_id,用户昵称,微博正文,头条文章url,发布位置,艾特用户,话题,转发数,评论数,点赞数,发布时间,发布工具,微博图片url,微博视频url,retweet_id,ip,user_authentication,评论人ID,评论人昵称,评论时间,评论内容,点赞次数
5007987112152088,O3lMr91R6,7812127712,柳心不吃馒头,封茗囧菌超话娃衣已经就位，可能不是很好看，毕竟是第一次买，不过还是很期待效果的，静等馒头娃娃啦,,,,,1,5,9,2024-03-03 23:43,封茗囧菌超话,https://wx3.sinaimg.cn/large/008wGThSgy1hne8gitnt4j32dc35sx6q.jpg,,,广东,普通用户,6114444957,freedonnj,Mon Mar 04 07:21:38 +0800 2024,"同等娃娃到家<span class=""url-icon""><img alt=""[送花花]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/cb/2022_Flowers_org.png"" style=""width:1em; height:1em;"" /></span>",1
5007987112152088,O3lMr91R6,7812127712,柳心不吃馒头,封茗囧菌超话娃衣已经就位，可能不是很好看，毕竟是第一次买，不过还是很期待效果的，静等馒头娃娃啦,,,,,1,5,9,2024-03-03 23:43,封茗囧菌超话,https://wx3.sinaimg.cn/large/008wGThSgy1hne8gitnt4j32dc35sx6q.jpg,,,广东,普通用户,7612281601,SOKG王昱元,Mon Mar 04 00:00:12 +0800 2024,~,1
5007987112152088,O3lMr91R6,7812127712,柳心不吃馒头,封茗囧菌超话娃衣已经就位，可能不是很好看，毕竟是第一次买，不过还是很期待效果的，静等馒头娃娃啦,,,,,1,5,9,2024-03-03 23:43,封茗囧菌超话,https://wx3.sinaimg.cn/large/008wGThSgy1hne8gitnt4j32dc35sx6q.jpg,,,广东,普通用户,7886489023,用户7886489023,Mon Mar 04 08:33:25 +0800 2024,"<span class=""url-icon""><img alt=""[爱橙橙]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/58/2024_loveorange_org.png"" style=""width:1em; height:1em;"" /></span><span class=""url-icon""><img alt=""[爱橙橙]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/58/2024_loveorange_org.png"" style=""width:1em; height:1em;"" /></span><span class=""url-icon""><img alt=""[爱橙橙]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/58/2024_loveorange_org.png"" style=""width:1em; height:1em;"" /></span>",1
5007938525069381,O3kw4lgMd,7297525643,永远明天见Tz,还是打给你了你却没接#幹物女(WeiWei)-封茗囧菌#@周翊然Tz,,,周翊然Tz,,0,9,10,2024-03-03 20:30,翊然尊嘟超爱你,https://wx3.sinaimg.cn/large/007XRFMvgy1hne2wmla6dj30u0190qbb.jpg,,,浙江,红V,6898883962,Melody-西红柿,Sun Mar 03 20:32:11 +0800 2024,初中超喜欢这首和干物女😍,1
5007938525069381,O3kw4lgMd,7297525643,永远明天见Tz,还是打给你了你却没接#幹物女(WeiWei)-封茗囧菌#@周翊然Tz,,,周翊然Tz,,0,9,10,2024-03-03 20:30,翊然尊嘟超爱你,https://wx3.sinaimg.cn/large/007XRFMvgy1hne2wmla6dj30u0190qbb.jpg,,,浙江,红V,6586667283,甜桃兔丸丸x,Sun Mar 03 21:08:51 +0800 2024,就这样喂喂喂,1
5007938525069381,O3kw4lgMd,7297525643,永远明天见Tz,还是打给你了你却没接#幹物女(WeiWei)-封茗囧菌#@周翊然Tz,,,周翊然Tz,,0,9,10,2024-03-03 20:30,翊然尊嘟超爱你,https://wx3.sinaimg.cn/large/007XRFMvgy1hne2wmla6dj30u0190qbb.jpg,,,浙江,红V,5656936859,偷亲明盛后被墨斗打了一顿,Sun Mar 03 20:57:48 +0800 2024,就这样喂喂～,1
5007938525069381,O3kw4lgMd,7297525643,永远明天见Tz,还是打给你了你却没接#幹物女(WeiWei)-封茗囧菌#@周翊然Tz,,,周翊然Tz,,0,9,10,2024-03-03 20:30,翊然尊嘟超爱你,https://wx3.sinaimg.cn/large/007XRFMvgy1hne2wmla6dj30u0190qbb.jpg,,,浙江,红V,2696637064,不许脸红o,Sun Mar 03 20:33:14 +0800 2024,感觉回到小学初中了,1
5007786747103443,O3gzgtNVF,6557473336,封茗囧菌的啊团,封茗囧菌超话以后的巡演大多会使用秀动app和票务相关，大家可以关注一下！『十年之约』使用秀动买票的朋友们也可以上传照片，来记录一下这段美好的经历,,,,,6,48,204,2024-03-03 10:27,封茗囧菌超话,"https://wx1.sinaimg.cn/large/0079MumYly1hndla923z5j30n01dsk0a.jpg,https://wx4.sinaimg.cn/large/0079MumYly1hndla8kmqlj30n01dsn4f.jpg",,,陕西,普通用户,5792996610,是栀夏不是只虾,Sun Mar 03 10:46:12 +0800 2024,"秀动真的很拉胯<span class=""url-icon""><img alt=[跪了] src=""https://h5.sinaimg.cn/m/emoticon/icon/default/d_guile-a8a737d3a0.png"" style=""width:1em; height:1em;"" /></span><span class=""url-icon""><img alt=[跪了] src=""https://h5.sinaimg.cn/m/emoticon/icon/default/d_guile-a8a737d3a0.png"" style=""width:1em; height:1em;"" /></span>根本抢不过hn二道贩子",9
5007786747103443,O3gzgtNVF,6557473336,封茗囧菌的啊团,封茗囧菌超话以后的巡演大多会使用秀动app和票务相关，大家可以关注一下！『十年之约』使用秀动买票的朋友们也可以上传照片，来记录一下这段美好的经历,,,,,6,48,204,2024-03-03 10:27,封茗囧菌超话,"https://wx1.sinaimg.cn/large/0079MumYly1hndla923z5j30n01dsk0a.jpg,https://wx4.sinaimg.cn/large/0079MumYly1hndla8kmqlj30n01dsn4f.jpg",,,陕西,普通用户,6768601211,十月月月月月丶,Sun Mar 03 16:13:22 +0800 2024,秀动的转赠对于hn来说太方便了,4
5007786747103443,O3gzgtNVF,6557473336,封茗囧菌的啊团,封茗囧菌超话以后的巡演大多会使用秀动app和票务相关，大家可以关注一下！『十年之约』使用秀动买票的朋友们也可以上传照片，来记录一下这段美好的经历,,,,,6,48,204,2024-03-03 10:27,封茗囧菌超话,"https://wx1.sinaimg.cn/large/0079MumYly1hndla923z5j30n01dsk0a.jpg,https://wx4.sinaimg.cn/large/0079MumYly1hndla8kmqlj30n01dsn4f.jpg",,,陕西,普通用户,7793918519,青泞ya,Sun Mar 03 14:39:02 +0800 2024,呜呜，什么时候能来台州,3
